candidate_rank,brand,source_site,source_title,source_price,gross_profit,profit_rate,auto_discovered_brand,source_url,availability_status,mercari_sold_median,mercari_sold_avg,mercari_sample_count,matched_sold_count,estimated_sale_price,platform_fee,estimated_shipping,target_category,model_match,model_signature,sold_model_signature,line_match,material_match,size_match,source_has_size,is_main_item,raw_color_text,primary_color,secondary_colors,detected_colors,color_detected,primary_color_band,secondary_color_bands,detected_color_bands,popularity_color_hint,popularity_color_hint_top1,popularity_color_hint_top2,popularity_color_hints,popularity_color_band_top1,popularity_color_band_top2,popularity_color_bands,color_match,color_alignment,matched_keywords,review_required,sell_speed,popularity_color_top1_count,popularity_color_top1_ratio,popularity_color_top2_count,popularity_color_top2_ratio,popularity_color_top3_count,popularity_color_top3_ratio,note
hold,A VACATION,ベクトルパーク,アヴァケーション A VACATION BEEHIVE ショルダーバッグ レザー べージュ /SR10,5900,22060,3.739,False,https://vector-park.jp/item/170-402504140631/,available,26000,27786,9,5,31900,3190,750,バッグ,True,,,True,True,False,False,True,,unknown,,,unknown,unknown,,,black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",False,unknown,"vacation,アヴァケーション,レザー,a",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,IACUCCI,ベクトルパーク,イアクッチ IACUCCI ハンドバッグ ショルダーバッグ 2WAY レザー 紫 パープル /YM,2800,21632,7.7257,False,https://vector-park.jp/item/081-102509290266/,available,23500,22854,19,5,27980,2798,750,バッグ,True,,Sorbetto,True,True,False,False,True,紫/パープル,purple,,purple,purple,purple,,purple,green,green,unknown,"green,unknown,unknown",green,unknown,"green,unknown,unknown",False,flashy,"iacucci,2way,イアクッチ,ショルダーバッグ,レザー,ハンドバッグ",False,fast,3,0.1579,2,0.1053,1,0.0526,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売り切れ候補モデル=Ghibli / 売れ筋上位色帯=green,unknown,unknown / 商品配色=purple / 人気色不一致で派手色主体"
hold,IACUCCI,Yahooショッピング,「IACUCCI」 2WAYバッグ - ブラウン レディース,6900,17532,2.5409,False,https://store.shopping.yahoo.co.jp/zozo/102446541.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,23500,22854,19,5,27980,2798,750,バッグ,True,,Sorbetto,True,False,False,False,True,ブラウン,brown,,brown,brown,brown,,brown,green,green,unknown,"green,unknown,unknown",green,unknown,"green,unknown,unknown",False,neutral,"iacucci,2way,レディース",False,fast,3,0.1579,2,0.1053,1,0.0526,"類似売り切れ5件ベースで推定 / 売り切れ候補モデル=Sorbetto / 売り切れ候補モデル=Ghibli / 売れ筋上位色帯=green,unknown,unknown / 商品配色=brown / 人気色不一致だが落ち着いた定番配色"
hold,A VACATION,RAGTAG,A VACATION(アヴァケーション)クラッチバッグ 緑 サイズ:-/2200656989171,6000,16650,2.775,False,https://www.ragtag.jp/brand/A0896/item/A089626F0003,available,26000,27786,9,5,26000,2600,750,バッグ,True,,,True,False,False,False,True,緑,green,,green,green,green,,green,black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",False,flashy,"vacation,アヴァケーション,a",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=green / 人気色不一致で派手色主体"
honmei,A VACATION,Yahooショッピング,アヴァケーション A VACATION KIKI ジャガード ショルダーバッグ 黒 ブラック /SR16 レディース,14500,13460,0.9283,False,https://store.shopping.yahoo.co.jp/vectorpremium/170-402506020097.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,26000,27786,9,5,31900,3190,750,バッグ,True,,,True,False,False,False,True,黒/ブラック,black,,black,black,black,,black,black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",True,strong,"vacation,アヴァケーション,レディース,black,a,ブラック,黒",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=black / 売れ筋1位色と一致"
honmei,A VACATION,ベクトルパーク,アヴァケーション A VACATION KIKI ジャガード ショルダーバッグ 黒 ブラック /SR16,14500,13460,0.9283,False,https://vector-park.jp/item/170-402506020097/,available,26000,27786,9,5,31900,3190,750,バッグ,True,,,True,False,False,False,True,黒/ブラック,black,,black,black,black,,black,black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",True,strong,"vacation,アヴァケーション,black,a,ブラック,黒",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=black / 売れ筋1位色と一致"
hold,A VACATION,ベクトルパーク,アヴァケーション A VACATION MARINE PVC トートバッグ ハンドバッグ ペイズリー柄 ロゴ クリア カーキ 黄色 イエロー /BB,9300,13350,1.4355,False,https://vector-park.jp/item/081-102511280135/,available,26000,27786,9,5,26000,2600,750,バッグ,True,,,True,False,False,False,True,カーキ/黄/イエロー,green,yellow,"green,yellow",green/yellow,green,yellow,"green,yellow",black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",False,flashy,"vacation,アヴァケーション,トートバッグ,a,ハンドバッグ,ペイズリー柄,bb",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=green,yellow / 人気色不一致で派手色主体"
hold,A VACATION,Rehello by BOOKOFF,ア ヴァケーション トートバッグ レディース A VACATION,9350,13300,1.4225,False,https://rehello.jp/products/rc_itt7smvutk4c_ztqx?variant=42065462296673,available,26000,27786,9,5,26000,2600,750,バッグ,True,,,True,False,False,False,True,,unknown,,,unknown,unknown,,,black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",False,unknown,"vacation,トートバッグ,ヴァケーション,a,ア,レディース",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,A VACATION,Yahooショッピング,A VACATION BEEHIVE/カゴバッグ/レザー/BEG,6160,12980,2.1071,False,https://store.shopping.yahoo.co.jp/ssol-shopping/2335623009412.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,26000,27786,9,5,22100,2210,750,バッグ,True,,,True,True,False,False,True,,unknown,,,unknown,unknown,,,black,black,unknown,"black,unknown,unknown",black,unknown,"black,unknown,unknown",False,unknown,"vacation,レザー,a",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,unknown,unknown / 商品配色=unknown / 色帯一致は弱いが総合評価対象"
hold,A VACATION,Yahooショッピング,アヴァケーション A VACATION トートバッグ ハンドバッグ メッシュ フリンジ グレージュ /BB レディース,12300,10350,0.8415,False,https://store.shopping.yahoo.co.jp/vectorpremium/081-102602100442.html?sc_i=shopping-pc-web-result-item-rsltlst-title,available,26000,27786,9,5,26000,2600,750,バッグ,True,,,True,False,False,False,True,グレージュ,beige,,beige,beige,white-beige,,white-beige,black,black,blue,"black,blue,unknown",black,blue-navy,"black,blue-navy,unknown",False,neutral,"vacation,トートバッグ,フリンジ,メッシュ,a,bb,ハンドバッグ,アヴァケーション",False,medium,2,0.2222,1,0.1111,0,0.0,"類似売り切れ5件ベースで推定 / 売れ筋上位色帯=black,blue-navy,unknown / 商品配色=white-beige / 人気色不一致だが落ち着いた定番配色"
